country,year,LaborRightsPos,LawPos,PracticePos,ccode
Afghanistan,1985,34,27,26,700
Afghanistan,1986,32,25,26,700
Afghanistan,1987,32,25,26,700
Afghanistan,1988,29,25,23,700
Afghanistan,1989,30.5,25,24.5,700
Afghanistan,1990,32,25.5,25.5,700
Afghanistan,1991,34,27,26,700
Afghanistan,1992,25.5,28.5,16,700
Afghanistan,1993,27,28.5,17.5,700
Afghanistan,1994,37,28.5,27.5,700
Afghanistan,1995,25,28.5,15.5,700
Afghanistan,1996,27,28.5,17.5,700
Afghanistan,1997,32.5,28.5,23,700
Afghanistan,1998,34,28.5,24.5,700
Afghanistan,1999,35.5,28.5,26,700
Afghanistan,2000,22.5,28.5,13,700
Afghanistan,2001,35.5,28.5,26,700
Afghanistan,2002,35.5,28.5,26,700
Albania,1985,34,27,26,339
Albania,1986,34,27,26,339
Albania,1987,34,27,26,339
Albania,1988,30.5,23.5,26,339
Albania,1989,18.5,15,22.5,339
Albania,1990,23.5,15,27.5,339
Albania,1991,28.5,25.5,22,339
Albania,1992,29,27,21,339
Albania,1993,34,28.5,24.5,339
Albania,1994,35.5,28.5,26,339
Albania,1995,37,28.5,27.5,339
Albania,1996,28.75,26.75,21,339
Albania,1997,31.75,23.25,27.5,339
Albania,1998,28.25,24.75,22.5,339
Albania,1999,33.75,26.75,26,339
Albania,2000,30.75,25.25,24.5,339
Albania,2001,32.25,25.25,26,339
Albania,2002,30.75,25.25,24.5,339
Algeria,1985,30.5,23.5,26,615
Algeria,1986,27,22,24,615
Algeria,1987,28.5,23.5,24,615
Algeria,1988,29,22,26,615
Algeria,1989,29.5,25.5,23,615
Algeria,1990,24.5,22.5,21,615
Algeria,1991,31,25.5,24.5,615
Algeria,1992,28.5,27,20.5,615
Algeria,1993,32.5,27,24.5,615
Algeria,1994,26,28.5,16.5,615
Algeria,1995,27.5,24,22.5,615
Algeria,1996,20.5,22.5,17,615
Algeria,1997,22.5,22.5,19,615
Algeria,1998,26,25.5,19.5,615
Algeria,1999,27.5,24,22.5,615
Algeria,2000,24,22.5,20.5,615
Algeria,2001,21,22.5,17.5,615
Algeria,2002,17.5,21,15.5,615
Andorra,1985,,,,232
Andorra,1986,,,,232
Andorra,1987,,,,232
Andorra,1988,,,,232
Andorra,1989,,,,232
Andorra,1990,,,,232
Andorra,1991,37,28.5,27.5,232
Andorra,1992,37,28.5,27.5,232
Andorra,1993,32.5,27,24.5,232
Andorra,1994,34,28.5,24.5,232
Andorra,1995,32.5,28.5,23,232
Andorra,1996,34,28.5,24.5,232
Andorra,1997,34,28.5,24.5,232
Andorra,1998,35.5,28.5,26,232
Andorra,1999,35.5,28.5,26,232
Andorra,2000,32.5,27,24.5,232
Andorra,2001,31,28.5,21.5,232
Andorra,2002,32.5,28.5,23,232
Angola,1985,31.5,25,25.5,540
Angola,1986,33.5,25,27.5,540
Angola,1987,33.5,25,27.5,540
Angola,1988,22,15,26,540
Angola,1989,22,15,26,540
Angola,1990,23.5,15,27.5,540
Angola,1991,32.5,25.5,26,540
Angola,1992,34,28.5,24.5,540
Angola,1993,34,27,26,540
Angola,1994,34,28.5,24.5,540
Angola,1995,20.5,17,22.5,540
Angola,1996,32,28.5,22.5,540
Angola,1997,30.5,27,22.5,540
Angola,1998,32.5,28.5,23,540
Angola,1999,31,28.5,21.5,540
Angola,2000,24,27,16,540
Angola,2001,23.5,24,18.5,540
Angola,2002,26.5,25.5,20,540
Antigua and Barbuda,1985,35.5,28.5,26,58
Antigua and Barbuda,1986,34,28.5,24.5,58
Antigua and Barbuda,1987,35.5,28.5,26,58
Antigua and Barbuda,1988,35.5,28.5,26,58
Antigua and Barbuda,1989,32,27,24,58
Antigua and Barbuda,1990,35.5,28.5,26,58
Antigua and Barbuda,1991,34,27,26,58
Antigua and Barbuda,1992,34,27,26,58
Antigua and Barbuda,1993,34,27,26,58
Antigua and Barbuda,1994,35.5,28.5,26,58
Antigua and Barbuda,1995,35.5,28.5,26,58
Antigua and Barbuda,1996,35.5,28.5,26,58
Antigua and Barbuda,1997,34,27,26,58
Antigua and Barbuda,1998,35.5,27,27.5,58
Antigua and Barbuda,1999,34,27,26,58
Antigua and Barbuda,2000,34,27,26,58
Antigua and Barbuda,2001,32.5,25.5,26,58
Antigua and Barbuda,2002,37,28.5,27.5,58
Argentina,1985,25,16.5,27.5,160
Argentina,1986,37,28.5,27.5,160
Argentina,1987,35.5,28.5,26,160
Argentina,1988,34,27,26,160
Argentina,1989,20.75,22.25,17.5,160
Argentina,1990,34,27,26,160
Argentina,1991,26.5,21,24.5,160
Argentina,1992,29.5,25.5,23,160
Argentina,1993,23,24,18,160
Argentina,1994,23.75,23.75,19,160
Argentina,1995,29.5,27,21.5,160
Argentina,1996,20.25,20.75,18.5,160
Argentina,1997,18.75,20.75,17,160
Argentina,1998,20.75,20.75,19,160
Argentina,1999,27.5,24,22.5,160
Argentina,2000,23.5,25.5,17,160
Argentina,2001,18.5,25.5,12,160
Argentina,2002,21.25,23.75,16.5,160
Armenia,1985,35.5,28.5,26,371
Armenia,1986,20.5,15,24.5,371
Armenia,1987,16.5,15,20.5,371
Armenia,1988,21,17,23,371
Armenia,1989,29.5,24,24.5,371
Armenia,1990,31,27,23,371
Armenia,1991,23.5,23.5,19,371
Armenia,1992,25.5,18.5,26,371
Armenia,1993,34,28.5,24.5,371
Armenia,1994,34,28.5,24.5,371
Armenia,1995,33.5,26.5,26,371
Armenia,1996,35.5,28.5,26,371
Armenia,1997,35.5,28.5,26,371
